"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","247","getUserAfterDeleteTest","Surefire suite","2026-08-19","failed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserAfterDeleteTest"
"","285","loginUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","loginUserTest"
"","268","getUserAfterUpdateTest","Surefire suite","2026-08-19","failed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserAfterUpdateTest"
"","8264","deleteUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","deleteUserTest"
"","252","getUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","getUserTest"
"","1","openBrowser","Surefire suite","2026-08-19","broken","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","openBrowser"
"","1","testAlloProductDetailVerification","Surefire suite","2026-08-19","skipped","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","testAlloProductDetailVerification"
"","0","testAlloBuyersSectionVerification","Surefire suite","2026-08-19","skipped","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","testAlloBuyersSectionVerification"
"","8250","updateUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","updateUserTest"
"","0","checkFenDisplay","Surefire suite","2026-08-19","skipped","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","checkFenDisplay"
"","264","logoutUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","logoutUserTest"
"","1","checkAlloButtonDisplay","Surefire suite","2026-08-19","skipped","2026-08-19","tests.HomePageTest","Surefire test","tests.HomePageTest","checkAlloButtonDisplay"
"","4279","createUserTest","Surefire suite","2026-08-19","passed","2026-08-19","tests.UserApiTests","Surefire test","tests.UserApiTests","createUserTest"
